"CustomerID","AddressID","AddressType","rowguid","ModifiedDate"
"29485","1086","Main Office","16765338-DBE4-4421-B5E9-3836B9278E63","2007-09-01 00:00:00"
"29486","621","Main Office","22B3E910-14AF-4ED5-8B4D-23BBE757414D","2005-09-01 00:00:00"
"29489","1069","Main Office","A095C88B-D7E6-4178-A078-2ECA44214801","2005-07-01 00:00:00"
"29490","887","Main Office","F12E1702-D897-4035-B614-0FE2C72168A9","2006-09-01 00:00:00"
"29492","618","Main Office","5B3B3EB2-3F43-47ED-A20C-23697DABF23B","2006-12-01 00:00:00"
"29494","537","Main Office","492D92B6-31AF-47EA-8E00-7C11C7CCC20D","2005-09-01 00:00:00"
"29496","1072","Main Office","0A66B0F3-24BC-4148-9661-26E935CEC99A","2007-09-01 00:00:00"
"29497","889","Main Office","7E0B56FD-7324-4898-BEDB-2F56A843BB0F","2005-07-01 00:00:00"
"29499","527","Main Office","C90CB0C3-976A-4075-A2B9-13136F4F1A92","2006-09-01 00:00:00"
"29502","893","Main Office","8ACB1C6A-7CDF-417B-AFD5-9F4C642F3C7E","2007-07-01 00:00:00"
"29503","32","Shipping","BE00FFC6-194B-44E9-A129-DFBEB8F1301F","2006-08-01 00:00:00"
"29503","541","Main Office","6811DBE3-1F02-440C-932E-A54F403B3E51","2006-08-01 00:00:00"
"29505","1083","Main Office","740A06AF-77F1-45CA-B284-38537324F86A","2007-05-01 00:00:00"
"29506","1082","Main Office","DD51A14D-45F5-44E9-BF3B-260F0E08E545","2007-08-01 00:00:00"
"29508","619","Main Office","2DD326F6-02DA-44B7-96FB-B3A86067C5EE","2005-12-01 00:00:00"
"29510","540","Main Office","AF6DCC27-DCCB-40DE-9445-3F4990AABD28","2005-08-01 00:00:00"
"29511","1046","Main Office","61CB8C51-7C96-4306-8050-56C90504972B","2005-08-01 00:00:00"
"29515","504","Main Office","A5F1A232-3CCE-4149-9892-DE9895BC0F07","2005-08-01 00:00:00"
"29517","794","Main Office","DB4D3044-7BF4-4D65-B48E-3FF927A842F0","2007-08-01 00:00:00"
"29521","1054","Main Office","C0F708C3-9147-44C4-B6CB-FD5B765343C0","2005-08-01 00:00:00"
"29522","1040","Main Office","997006D9-674C-4153-86D0-2EFA7E1FEBF4","2005-08-01 00:00:00"
"29523","593","Main Office","15D1E8B0-E626-465C-A565-98500B56C077","2005-08-01 00:00:00"
"29524","599","Main Office","75724647-82A0-49C5-A841-F991BBAEBE18","2007-08-01 00:00:00"
"29525","1049","Main Office","E1E5AF17-D958-4A88-B537-444F2BE24538","2005-09-01 00:00:00"
"29527","512","Main Office","DECEF565-C5D1-4396-A45F-27C635833B31","2007-09-01 00:00:00"
"29528","788","Main Office","65C98567-6A79-44F0-BE71-264547362402","2006-09-01 00:00:00"
"29530","495","Main Office","2A12A463-DCA0-480F-83D6-AB58A43E1D24","2006-09-01 00:00:00"
"29531","1061","Main Office","14E08CFE-CF7E-4E76-A5FD-7624CAE2482E","2005-12-01 00:00:00"
"29532","881","Main Office","4AC4ECBE-4775-492A-8776-41237D7C6ABA","2006-10-01 00:00:00"
"29533","801","Main Office","CD6229C0-A0FA-4A48-B4E1-D1C02437CAA8","2005-07-01 00:00:00"
"29535","591","Main Office","26821E31-0E0E-4D73-A494-34F630B636C4","2006-09-01 00:00:00"
"29536","786","Main Office","EFA08457-C8D8-4DAF-A27F-BF6DFAF76863","2006-12-01 00:00:00"
"29539","480","Main Office","6F7DDA53-7B9D-4710-AEB9-20EA0EA5098B","2005-08-01 00:00:00"
"29541","467","Main Office","22B4D3BB-6AF2-4D40-8F84-10FAD8D5A74F","2005-11-01 00:00:00"
"29544","519","Main Office","B1D3B3FA-E485-4F4C-B781-B4EFB273DEDC","2006-08-01 00:00:00"
"29545","11","Shipping","3D88495A-776E-414A-A91E-6D8979A35D86","2007-04-01 00:00:00"
"29545","834","Main Office","6E047F2B-6170-47BB-8D14-8A0702D1EB17","2007-04-01 00:00:00"
"29546","635","Main Office","BFF85EBD-CCD0-4DAA-AFBB-B415EDF44265","2006-09-01 00:00:00"
"29548","498","Main Office","1419EA0F-F8EE-4D5B-9E5F-90FC3A9999CA","2005-08-01 00:00:00"
"29550","853","Main Office","68F33BFF-28C2-4ADF-A6F0-EF5ED52C0172","2007-09-01 00:00:00"
"29553","581","Main Office","6332EC14-CE8A-48AC-B1C2-476077E07952","2007-09-01 00:00:00"
"29554","776","Main Office","316172FC-BA5F-4A48-86E0-5213A7F59059","2005-11-01 00:00:00"
"29557","513","Main Office","D3E8FA3E-72B0-4059-A99F-ED52F631E72C","2007-09-01 00:00:00"
"29558","500","Main Office","C646937C-7B2B-4284-994C-11D7BF5E1F21","2005-08-01 00:00:00"
"29559","185","Shipping","4764266C-0FA0-4ADB-913F-013DA52D6353","2006-09-01 00:00:00"
"29559","861","Main Office","30233957-E9B2-4C10-9621-6704AD79D316","2006-09-01 00:00:00"
"29560","1030","Main Office","4012A207-360D-4189-833C-61B0EBE4E593","2006-08-01 00:00:00"
"29562","1091","Main Office","5A938E81-23B5-41F1-9F19-48AA09F5EB48","2005-09-01 00:00:00"
"29565","1073","Main Office","ABBED10E-0CD0-4808-9465-D8DE63BB0B8D","2005-07-01 00:00:00"
"29566","810","Main Office","81390AF7-D4D0-4F4D-AF42-AB21F5713F14","2005-07-01 00:00:00"
"29567","448","Main Office","4F5A655A-1259-4F7E-95F6-CD18CA6B9A01","2007-08-01 00:00:00"
"29568","993","Main Office","DCEC97AC-FC1A-4FAC-9DD5-B7CAB0625D77","2006-09-01 00:00:00"
"29569","562","Main Office","1F8372C3-2AE5-478B-90D2-618E6C5B28F5","2005-08-01 00:00:00"
"29570","592","Main Office","FFF86E21-3F2F-4DEE-A66F-E750ACEB288C","2005-07-01 00:00:00"
"29571","864","Main Office","0051C719-AEEC-46F0-8430-562D074BE9E9","2005-08-01 00:00:00"
"29573","1016","Main Office","BE9052DE-38C3-4055-88C4-D1CBF9E4A7F2","2006-09-01 00:00:00"
"29574","577","Main Office","44D2BD82-E3B9-4390-B645-8F03E8F53237","2006-09-01 00:00:00"
"29576","514","Main Office","F0D0449B-B4B5-4BEE-AE9E-DDA391E1971A","2006-09-01 00:00:00"
"29577","471","Main Office","79195F71-4929-4C90-BE50-D9DFD1767268","2005-09-01 00:00:00"
"29579","1012","Main Office","1D926304-E5CD-401C-B40A-C68C9CA545C8","2006-09-01 00:00:00"
"29580","849","Main Office","2548C6C5-6E73-472A-A5C8-7BC82D223038","2005-07-01 00:00:00"
"29582","848","Main Office","8E96ECCF-87C9-4123-9658-82807BF5CC39","2005-08-01 00:00:00"
"29583","576","Main Office","12FDB97E-8664-4A38-8B9D-E7A5D48D3E6B","2005-11-01 00:00:00"
"29584","1014","Main Office","27F155C4-618E-41E0-B843-6887C0B1FD95","2006-09-01 00:00:00"
"29585","841","Main Office","85C76950-0A27-4B55-8C4D-4673172D5AC1","2005-11-01 00:00:00"
"29587","664","Main Office","BE7DA2A1-7558-4566-84D7-90F67DC24375","2006-07-01 00:00:00"
"29588","890","Main Office","AA005E64-2103-433D-AC7E-886222396936","2005-11-01 00:00:00"
"29590","789","Main Office","B6AA96AC-8470-4683-923C-6D8C00A023DC","2006-08-01 00:00:00"
"29591","584","Main Office","20668D7D-B2DA-43DD-83DB-4F02A269924B","2007-07-01 00:00:00"
"29593","585","Main Office","0B887414-135A-43F6-94DC-60A220362C6D","2006-08-01 00:00:00"
"29596","458","Main Office","F304C494-8B65-41A7-A144-853FF6DCF91C","2005-07-01 00:00:00"
"29598","1000","Main Office","36D419A6-97C3-4CF3-96EF-8C8951FAF7D3","2006-08-01 00:00:00"
"29599","877","Main Office","DB83BCB8-214F-4B20-92C8-75D4B982A134","2006-07-01 00:00:00"
"29600","797","Main Office","979ABDF5-114C-4324-9B43-0E9F090A6174","2006-09-01 00:00:00"
"29601","516","Main Office","A35638E6-0F87-47C0-9C72-1B65CADFAF59","2006-08-01 00:00:00"
"29603","518","Main Office","04A7A4FF-6708-4C08-A502-4DAEAA666D55","2007-09-01 00:00:00"
"29605","1060","Main Office","A0DF5593-0A1D-4670-AF3E-FFF343EC50B3","2006-07-01 00:00:00"
"29606","871","Main Office","3F467555-2C79-4CB8-906F-C45DAEB8D9A6","2005-07-01 00:00:00"
"29608","488","Main Office","79B712ED-91C6-418C-91CB-8AF9169546E8","2007-08-01 00:00:00"
"29611","862","Main Office","EA3C1ACA-7D46-4842-8A52-4A5E04DE9E13","2005-11-01 00:00:00"
"29612","649","Main Office","56DC2277-C288-484C-AFB3-52624182ABA6","2007-09-01 00:00:00"
"29614","529","Main Office","5A69E600-61EC-49FC-8CF9-40FCAABBB48C","2005-07-01 00:00:00"
"29615","663","Main Office","C456F6E1-9405-4707-A039-D355ACBD0FAC","2007-08-01 00:00:00"
"29616","608","Main Office","6511AD85-E361-4A97-98E5-F9E49E04CE0B","2006-08-01 00:00:00"
"29617","880","Main Office","D159DB17-53D1-42E0-91D8-F926AB6413E6","2005-08-01 00:00:00"
"29618","658","Main Office","8EE07B7F-D561-45A5-9D78-EF7D9223B535","2006-08-01 00:00:00"
"29620","503","Main Office","C7A8A997-0817-42D2-A150-5785F7A4E47F","2005-08-01 00:00:00"
"29622","863","Main Office","347CA34C-5205-464E-83F7-BEB956DFDF7D","2005-09-01 00:00:00"
"29623","1033","Main Office","5BB7CC4F-58E9-447A-8012-E36AB7AE7F67","2007-07-01 00:00:00"
"29625","491","Main Office","72BC757F-5890-414A-948F-EF5C3EE0F5EC","2007-09-01 00:00:00"
"29627","447","Main Office","E25D9B43-EDEC-4E35-AA93-B12417EF7A61","2006-08-01 00:00:00"
"29629","469","Main Office","9CD7B713-3133-4816-8375-3458AA5DF285","2007-09-01 00:00:00"
"29631","1003","Main Office","8C52E68F-6799-48B5-99D9-857FE08275FB","2007-07-01 00:00:00"
"29632","843","Main Office","6897A92D-B5F7-467C-8D61-F89E28D0D908","2005-09-01 00:00:00"
"29635","634","Main Office","194A6DF5-F0E4-484D-9113-A9FCE5961104","2006-09-01 00:00:00"
"29636","1105","Main Office","A15F4F5F-A90F-4908-B8A7-9D126BE5DA1E","2006-07-01 00:00:00"
"29637","559","Main Office","991E29FA-E7C2-487A-BDD8-33CA4A36F61B","2005-09-01 00:00:00"
"29638","989","Main Office","3DB4D2FF-611F-416C-A6E4-41292B13E04B","2007-09-01 00:00:00"
"29639","470","Main Office","70C47450-562C-43BC-8596-ABFFDDE831FE","2005-09-01 00:00:00"
"29641","1088","Main Office","ACA58BAB-7BA5-4CB5-888D-8D9204653CEB","2007-07-01 00:00:00"
